Location Name,lat,lon,Deaths,Damage Description,Total Death Description,Total Damage Description
MOROCCO:  EL ARAISH (LARACHE),35.1,-6.1,,3,,
ITALY:  VERONA,45.3,11,,2,,
"ITALY:  FORLI, ROMAGNA, BOLOGNA",44.2,12,,,,
IRAN:  NEISHABUR-SHADYAK,36.1,58.5,,3,,
BALKANS NW:  CROATIA,44.1,15.2,,,,
BALKANS NW:  CROATIA,44.1,15.2,,,,
IRAN:  SHADIYAKH,36.1,58.8,,3,,
"GEORGIA:  SAMTSKHE, DZHAVAKHET",41.7,43.2,,3,,
SYRIA:  DIMASHQ (DAMASCUS),33.3,36.2,,,,
FRANCE:  VANNES,47.4,2.5,,2,,
CHINA:  BEIJING,40,116.5,10000,4,4,4
FRANCE:  STRASBOURG,48.6,7.8,,2,,
CHINA:  NEI MONGOL:  NINGCHENG,41.5,119.3,100000,3,4,3
IRAN:  SHIRAZ,29.4,52.3,,2,,
CHINA:  SHAANXI PROVINCE,36.1,111.5,150,3,3,
"ISRAEL:  RAMLA,GAZA; JORDAN:  AL-KARAK",32,34.9,,3,,
JAPAN:  KAMAKURA,35.2,139.4,23024,3,4,3
SWITZERLAND,46.9,9.5,,3,,
SWITZERLAND,46.9,9.5,,3,,
ITALY:  RIETI,42.4,12.9,,,,
BALKANS NW:  CROATIA,44.1,15.2,,,,
"IRAN:  NEYSHABUR (NEISHABUR),FIRRIM",36.8,56,,3,,
ITALY:  RIETI,42.4,12.9,,3,,
IRAN:  FIRRIM,36.2,53.4,,3,,
GREECE:  CRETE,35,27,4000,3,4,3
CHINA:  SHANXI PROVINCE,36.3,111.7,,4,4,4
IRAN: TABRIZ,38.5,45.5,,2,,2
"CHINA:  SHANXI PROVINCE:  HUAIREN, DATONG",39.8,113.1,2000,3,4,3
CHINA:  NINGXIA:  KAICHENG,35.9,106.1,5000,3,4,3
IRAN:  QESHM ISLAND,26.6,56.2,,3,,
GREECE:  CRETE,35.5,25.5,,,,
CHINA:  HUBEI PROVINCE:  KIN MEN,31.2,112.2,3466,3,4,3
"IRAQ:  SHAHRIZUR, SULAIMANIYA, BAGHDAD",35.6,46,,3,3,3
CHINA:  HEBEI:  SHEXIAN,36.5,113.8,340,2,3,2
"IRAN:  ST THADDEUS; ARMENIA:  ARARAT, SINI, ANI",39.1,44.5,75,3,2,3
ITALY:  MONTECASSINO,41.5,13.8,,,,
PORTUGAL:  CABO SAN VICENTE:  SW,36,-10.7,,,,
BALKANS NW:  CROATIA,45.2,14.7,,,,
CHINA:  SICHUAN PROVINCE,30.1,102.7,,,1,
ITALY:  NORCIA,42.8,13,5000,3,,
ITALY:  SICILY,37.734,15.004,,1,,1
"SAGAMI, JAPAN",33.7,135.2,,,,
MARMARA SEA,,,,,,
IRAN:  QESHM,26.6,56.2,,3,,
IRAN:  KHAF,34.7,59.7,20000,3,,
CHINA:  HEBEI:  HUAILAI,40.4,115.7,,1,,1
LEBANON:  TARABULUS (TRIPOLIS),34.3,35.5,60,2,,
CHINA:  GANSU PROVINCE:  TAO YUEN CHAN,29,111.3,360,1,3,1
UKRAINE:  CRIMEA,44.3,34.3,,,,
JAPAN:  JUSANKO,41,139.5,,,4,
BALKANS NW:  CROATIA,44,15,,,,
CHINA:  HUNAN PROVINCE:  NAN PI TSIN NAN,34.9,105.8,,,3,
TURKEY:  ISTANBUL (CONSTANTINOPLE),40.8,28.3,,3,3,3
"SYRIA:  MEMBIJ, ALEPPO, DIMASHQ  (DAMASCUS)",36.527,37.956,5700,4,4,4
IRAN:  ESFAHAN,32.6,51.7,20,1,,
PORTUGAL:  LISBON,38,-9,,3,,
ITALY:  FIRENZE (FLORENCE),43.8,11.3,,3,,
SWITZERLAND,47.5,7.6,,3,,
"CHINA:  SHANDONG PROVINCE:  LINTOU, CHINGCHOU",36.9,118.2,,3,3,3
AUSTRIA:VILLACH; ITALY:VENETO; SLOVENIA:CELOVAC,46.4,13.5,5000,4,,
"ITALY:  L'AQUILA, ABRUZZI, SANNIO",42.3,13.5,2000,3,4,3
"GEORGIA:  CHEGEM GORGE, CHREBALO",43,43,,3,,
CHINA:  SHANXI PROVINCE:  YUSHE,37.3,113,,,3,
CHINA:  GANSU PROVINCE,35.6,105.3,,2,,2
ITALY:  SANSEPOLCRO,43.5,12.1,2000,3,,
TURKEY,40.8,27,,,,
"SYRIA:  HAMAH (HAMA),HIMS (HUMS),BALABAKK",35.1,36.4,24,2,,
"PORTUGAL:  LISBON; SPAIN:  SEVILLA, CORDOVA",36.5,-10,,3,,3
SWITZERLAND:  BASEL,47.4,7.6,300,4,,
"YEMEN:  ZABID,SANA,ADAN",14.1,43.2,61,2,,
ALGERIA:  ALGIERS,36.8,3,,2,,2
JAPAN:  KUMANONADA,33.4,136.2,,,3,
IRAN:  QESHM ISLAND,26.8,55.9,,3,,
ITALY:  BASILICATA TO POUILLES,40.3,15.6,4000,3,,
JAPAN:  NANKAIDO,33,135,,,3,4
CHINA:  JIANGXI PROVINCE:  YEN HI CHAN,28.8,115.3,,,3,
ALGERIA:  ALGIERS,36.8,3,,3,3,3
IRAN:  KUCHESFAHAN,37.3,49.7,,3,,
CHINA:  SHANXI PROVINCE: XUGOU,37.6,112.5,,3,1,3
CHINA:  JIANGSU PROVINCE:  NANJING,32,118.8,16,,1,
SPAIN:  RIBAGORZA,42.1,-0.3,,,,
SWITZERLAND,46.9,8.4,,3,,
YEMEN:  ADEN (ADAN),12.4,45.1,,2,,
ALBANIA,41.1,20.1,,,,
IRAN:  REY (RAY),35.3,51.2,,3,,
TURKEY,39.2,26.2,,,,
GREECE:  LESBOS,39.3,26.3,500,,,
NORTH KOREA:  KAESONG,37.6,126.3,,2,,
BALKANS NW:  BOSNIA-HERZEGOVINA,44.2,17.7,,,,
BALKANS NW:  CROATIA,44.1,15.2,,,,
YEMEN:  ADEN (ADAN),12.4,45.1,,3,3,3
IRAN:  NEYSHABUR,36.2,58.5,,3,,
IRAN:  NEYSHABUR (NISHAPUR),36.1,58.5,,3,,
IRAN:  NEYSHABUR (NISHAPUR),36.2,58.8,,3,,
GREECE:  AEGEAN SEA,38.5,26.5,,,,
UZBEKISTAN:  BUKHARA,39.8,64.4,,2,1,2
BALKANS NW:  CROATIA,44.1,15.2,,,,
SWITZERLAND,47.4,7.2,,3,,
BALKANS NW:  CROATIA,44.1,15.2,,,,
IRAN:  LAR,27.7,54.3,,2,,
IRAN:  RUDBAR,36.5,49,,2,,
SYRIA,35,37,,3,,
SYRIAN COASTS,,,,,,
JAPAN:  KUMANONADA,33.7,136.5,,,,
SYRIA:  HALAB (ALEPPO),36.1,37.1,,3,,
IRAN:  NEYSHABUR (NISHAPUR),36,58.8,,4,,
JAPAN:  SHIMIZU,34.4,138.4,,1,,1
TURKEY:  ANTAKYA (ANTIOCH),36,36,,,,
JAPAN:  KUMANONADA,33.8,136.9,,,,
TURKEY:  ANTIOCH; SYRIA: ALEPPO; LEBANON: TRIPOLIS,36.2,36.1,,3,3,3
ITALY:  SANSEPOLCRO,43.5,12.1,200,2,,
ITALY,41,15,,3,,
BALKANS NW:  CROATIA:  VRANA,43.9,15.6,,3,,
MARMARA SEA,40.9,28.9,,,,
"YEMEN:  ZABID,BAHRAIN",14.1,43.2,60,3,,
"SPAIN:  OLOT,BARCELONA",41.7,2.2,,3,,
FRANCE:  PRATS DE MOLLO; SPAIN: OLOT,43.4,4.4,600,2,,
SPAIN:  GRANADA,37.2,-3.6,,3,,3
"TOKAIDO, JAPAN",34.9,139.5,,3,3,3
CHINA:  GANSU PROVINCE:  YONGDENG,36.2,103.3,200,2,3,2
IRAN:  KARZIN,28.3,53.1,,3,,
IRAN:  TABRIZ,38,46.2,,3,,
"TURKEY:  VAN,NEMRUT",38.3,43.2,,3,,
SLOVAKIA:  BANSKA STIAVNICA,48.5,19.1,30,,,
BULGARIA:  VARNA,43.2,27.9,,3,,3
TURKEY:  NEMRUT MTNS,38.7,42.2,30000,,,
CHINA:  FUJIAN PROVINCE:  ZHANGZHOU,24.5,117.6,,3,3,3
ITALY:  ROMA (ROME),41.9,12.6,,3,,
JAPAN:  SADO,37.5,138.2,,,,2
BALKANS NW:  CROATIA,42.6,18.1,,,,
SWITZERLAND,47.5,7.6,,,,
SWITZERLAND,47.5,7.6,,,,
SOUTH KOREA:  KWANGJU,35.9,126.5,,2,3,2
BALKANS NW:  SERBIA,42.2,20.7,,,,
TURKEY:  ERZINCAN,39.8,39.5,,3,,
"ITALY:  AVELLINO,NAPOLI,ABRUZZI, BRINDISI,BENEVENTO",40.4,14.5,30000,4,4,4
ISRAEL:  PALESTINE; SYRIA,31.2,34.2,32000,,,
ISRAEL:  PALESTINE:  JORDAN:  AL-KARAK (KARAK),31.2,34.2,100,2,2,2
"TURKEY:  ERZINCAN,ERZURUM",39.9,40.4,32000,,,
BALKANS NW:  CROATIA,46.3,16.3,,,,
ITALY:  L'AQUILA (AQUILA),42.3,13.4,,,,
ITALY:  CENTRAL,42.3,13.5,,,,
YEMEN:  ZABID,14.1,43.2,10,,1,1
SPAIN:  SEVILLA (SEVILLE),37.3,-5.6,,3,,
GREECE,38.5,20.5,,,,
BALKANS NW:  CROATIA,42.6,18.1,,,,
PERU,-16.3,-71,,,,
KYRGYZSTAN:  BOLOSAGUN,42.6,75.2,,2,,2
MEXICO:  MEXICO CITY,,,,3,,3
CHINA:  SICHUAN PROVINCE:  YANYUAN,27.5,101.6,,2,3,2
BALKANS NW:  CROATIA,43,17.6,,,,
GREECE:  RHODES,36,28,,3,3,3
CHINA:  YUNNAN PROVINCE:,26.5,99.9,,3,3,3
ITALY:  RODI GARGANICO,42,15.9,,3,,
GREECE:  RHODES,36,28,,,,
GREECE:  RHODES,36,28,,3,3,3
BALKANS NW:  CROATIA,42.6,18.1,,,,
"TURKEY:  ERZINCAN,ERZURUM",39.9,40.4,30000,3,,
"IRAN:  HORMOZ,OMAN",26.1,56.9,,3,,
IRAN:  OFF COAST,24.9,57.9,,,,
GREECE:  DODECANESE ISLANDS,36.2,27.5,,,,
CHINA:  BEIJING,40.5,116.5,,2,2,2
"IRAN:  GILAN,DILAMAN,KARAJIAN,SHAKUR,GULIJAN",37,49,,3,,
IRAN:  ALAMUT-JENAT RUDBAR-DAILAMAN,36.9,49.9,,3,,
"CHINA:  SHAANXI PROVINCE:  LINTONG, XIANYANG",34.4,108.9,1900,3,4,3
CHINA:  SICHUAN PROVINCE:  MAOWEN,31.7,103.9,,1,,1
SOUTH COASTS OF ASIA MINOR,,,,,,
UZBEKISTAN:  SAMARKAND,39.4,67.1,,3,,
GREECE:  DODECANESE ISLANDS,36.5,27,,,,
"IRELAND:  SLIGO, MAYO",54,-9,100,,2,
GREECE:  KOS,36.9,27,5000,3,4,3
IRAN:  NOWZAD-MASK,33,59.8,,3,,
GREECE:  DODECANESE ISLANDS,36.8,27,,2,3,2
CHINA:  YUNNAN PROVINCE:  QUJING,25.5,103.8,3,2,1,2
FRANCE:  NEAR S COAST,43.8,7,,,,
"FRANCE:  LANTOSQUE,ROQUEBILLIERE,NICE",43.4,7.1,,2,,
GREECE:  CRETE,35.5,25.5,,2,,2
CHINA:  NINGXIA:  ZHONGWEI,37.6,105.6,,2,,2
JAPAN:  KAMAKURA,35.1,139.5,,1,3,1
BALKANS NW:  CROATIA,43.5,16.1,,,,
JAPAN:  ENSHUNADA SEA,34.4,137.7,,1,,1
VENEZUELA: BOCA DE LA SIERPE,9.9,-62.3,,,,
JAPAN:  ENSHUNADA SEA,34,138.1,,1,4,3
JAPAN:  NANKAIDO,33.5,135.2,,1,,1
CHINA:  YUNNAN PROVINCE:  YI LIANG,25,103,10000,4,4,4
CHINA:  YUNNAN PROVINCE:  YILIANG,24.9,103.1,10000,,4,
HAWAII,,,,,2,
CHINA:  SHAANXI PROVINCE:  CHAOYI,34.8,110.1,400,4,3,4
INDIA:  KASHMIR:  SRINAGAR,34.1,74.8,,2,,2
GREECE:  CRETE,35.5,25,,,,
BALKANS NW:  CROATIA,45.8,16.1,,,,
CHINA:  HENAN PROVINCE:  PUCHENG,35.7,115.3,50,2,1,
DOMINICAN REPUBLIC:  SANTO DOMINGO,18.3,-69.5,,3,,3
SWITZERLAND,46.8,10.2,,3,,
SPAIN:  CARMONA,37.3,-5.4,,,,
BALKANS NW:  CROATIA,42.6,18.1,,,,
NEPAL-INDIA,29.5,83,,3,3,3
AFGHANISTAN:  KABUL,34.5,69.2,,3,3,3
"CHINA:  SHANXI PROVINCE:  ANYI, GUEHENG",35.2,110.9,,,2,
BALKANS NW:  SLOVENIA:  KAPELE,45.9,14.2,,3,,
"CHINA:  YUNNAN PROVINCE:  ANNING, YUXI",24.6,102.5,,,2,
"GREECE:  CRETE:  IRAKLION (CANDIA),MEGALOKASTRON",35.2,25.1,300,2,,
ITALY:  REGGIO DI CALABRIA,38.1,15.7,,,,
CHINA:  E. CHINA SEA,31.5,121.5,,,,
TURKEY:  ISTANBUL,40.8,28.1,5000,4,4,4
"BALKANS NW:  SLOVENIA:  BLED,SLATNA,BEGUNJE",46.4,14.1,,3,,3
TURKEY:  EDIRNE,41.7,26.6,,2,,
GERMANY:  BAVARIA:  NORDLINGEN,48.8,10.5,2000,,,
"SEIONAIKAI, JAPAN",34.6,135.4,,1,,1
JAPAN:  ENSHUNADA SEA,34.5,137.6,,,,
BALKANS NW:  SLOVENIA,46.1,14.5,,,,
"BALKANS NW:  SLOVENIA:  IDRIJA,SKOFJA LOKA",46.2,13.433,15,3,1,3
ITALY:  CIVIDALE DEL FRUILI,46.1,13.4,3000,3,4,3
CHINA:  YUNNAN PROVINCE,26.6,100,,,2,
CHINA:  YUNNAN PROVINCE,25,98.5,,3,3,3
SWITZERLAND,46.4,9,,3,,
PERU,-17.2,-72.3,,,,
GREECE:  S,37.8,21,,,,
CHINA:  YUNNAN PROVINCE,25.1,99.1,,,3,
CHINA:  YUNNAN PROVINCE:  HEQING,26.6,100.2,100,3,2,3
CHINA:  YUNNAN PROVINCE:  DALI,25.7,100.2,200,3,3,3
BALKANS NW:  CROATIA,42.6,18.1,,,,
BALKANS NW:  CROATIA,42.6,18.1,,,,
ROMANIA,45.7,26.6,,,,
CHINA:  YUNNAN PROVINCE,24.1,102.6,,1,2,1
NORTH KOREA:  HWANGHAE-DO:  PAEKCHON,38,125,,2,,
SPAIN:  VERA,37.2,-1.5,,4,,
CHINA:  YUNNAN:  WEISHAN,25.3,100.3,,1,,
"JAPAN:  KII, KUMANANONADA",33.6,136.3,,,,1
BALKANS NW:  CROATIA: DUBROVNIK:  RAGUSA,42.6,18.1,,3,2,3
CHILE,-40,-74,,,,
SPAIN:  ALMERIA; MOROCCO: FEZ,36.97,-2.66,,3,4,3
AZORES:  SAO MIGUEL ISLAND,37.7,-25.4,5000,3,4,3
MEXICO:  VERACRUZ,19.2,-96.4,,3,,3
INDIA:  DABUL,17,73.2,,,,1
IRAN:  TABRIZ,38,46.2,,3,,
BALKANS NW:  CROATIA,42.6,18.1,,,,
VENEZUELA:  CUMANA,10.5,-64.2,,,1,2
PORTUGAL:  LISBON,38.7,-9.1,30000,3,4,3
CHINA:  JIANGSU PROVINCE,30.7,117.5,,1,,1
CHINA:  FUJIAN:  CHANGTING,25.8,116.4,,1,3,1
CHINA:  SICHUAN:  N OF XICHANG,28.1,102.1,3,3,3,3
MEXICO:  SOUTHERN,,,,3,,3
ITALY:  POZZUOLI,40.6,14.1,,3,,
MEXICO:  MEXICO CITY,19.2,-99.1,,3,,3
CHINA:  YUNNAN PROVINCE:  JIANGSHUI,23.6,102.8,,,2,
HONDURAS: CABO DE HIGUERAS,16.2,-88.5,,2,,2
VENEZUELA: CUBAGUA ISLAND,10.8,-64.2,,,,
MEXICO:  MEXICO CITY,19.2,-99.1,,3,,3
ITALY:  SCARPERIA,44.07,11.3,113,3,1,3
"ITALY:  SIRACUSA, MILITELLO, CATANIA, NOCOSIA",37.07,15.3,,3,,3
"VENEZUELA:  CUMANA, ISLA CUBAGUA",10.5,-64.2,,3,1,3
CHILE,-19,-70.5,,,1,
JAPAN:  IZU PENINSULA,34.8,139,,,,
CHINA:  SHAANXI PROVINCE:  HIAO YI,37.2,111.7,,,3,
"ISRAEL:  NABULUS,SALT; JORDAN:  AL-KARAK",32,35.5,,3,4,3
"AZORES:  SANTA BARBARA, FREGUES",38.7,-27.3,,,,
"IRAN:  QAYEN (QAIN),KHORASAN",33.5,59.1,3000,3,,
IRAN:  TABRIZ,38,46,,3,,
ITALY:  VALLO DI DIANO,40.7,15.1,,,,
PORTUGAL:  LISBON,38.7,-9.1,2000,3,4,3
CHINA:  GUIZHOU PROVINCE:  QINGLONG,25.8,105.2,,,3,
PERU,-16.6,-71.3,,,,
SOUTH KOREA:  KYONGSANG-DO,35.8,128.8,,3,,
INDIA:  KASHMIR:  SRINAGAR,33.5,75.5,,3,3,3
PERU,-11.9,-77.6,,,,
BALKANS NW:  MACEDONIA:  RAZLOVCI,42.8,22.8,,4,,
CHINA:  SHAANXI PROVINCE,34.5,109.7,830000,4,4,4
AUSTRIA:  PROBABLY KARNTEN,46.9,13.7,,3,,
TURKEY:  ISTANBUL,41,29,,,,
TURKEY:  ROSANNA; NEAR ISTANBUL,41,29,,2,,
ECUADOR,-0.2,-78.6,,,,
CHINA:  YUNNAN PROVINCE:  YILIANG,24.9,103.2,,3,4,3
CHINA:  YUNNAN PROVINCE,24.2,102.7,100,2,3,2
CHINA:  NINGXIA:  E OF ZHONGWEI,37.5,106.2,1001,4,4,4
"ITALY:  PICERNO, TITO, BUCCINO",40.5,14.7,600,2,,
"CHINA:  SHAANXI,GANSU,AND SHANXI PROVINCES",38,112,,3,4,3
ITALY:  VALLO DI DIANO,40.5,15.5,,,,
CHILE,-38.7,-73.5,,3,3,3
BALKANS NW:  MONTENEGRO,42.4,18.8,,,,
DOMINICAN REPUBLIC:  CONCEPCION DE LA VEGA,19.1,-70.3,,3,,
"FRANCE:  CORSICA,LA BOLLENE-VESUBIE,VENANSON",44.017,7.283,650,4,3,4
GUATEMALA:  ANTIGUA,14.6,-90.7,,2,,2
GUATEMALA:  ANTIGUA,14.6,-90.7,,3,,3
COLOMBIA,3,-77.3,,,,
IRAN:  LAR,27.7,54.3,,3,,
"CHINA:  HEBEI PROVINCE:  QIANAN, LAOTING",39,119,,3,,3
CHINA:  SHAANXI PROVINCE:  XIAN,34.4,109,200,2,3,2
"MEXICO:  COCULA,JALISCO",20.2,-103.5,60,3,2,3
CHILE:  OLD CONCEPCION,-36.75,-73,,2,4,3
"ITALY:  FERRARA,BOLOGNA,PADOVA,VENIZIA,TREVISO",45.3,11.4,125,,,
AZORES: TERCEIRA,,,,,,
CHINA:  YUNNAN PROVINCE:  TONGHAI,24.1,102.7,,3,2,3
CHINA:  GANSU PROVINCE:  MINXIAN,34.4,104,,3,3,3
MEXICO:  COLIMA,19.2,-104,,3,,3
SWITZERLAND,46.2,6.2,,3,,
BALKANS NW:  CROATIA,45.1,14.8,,,,
"IRAN:  FIN,KASHAN",34,51.4,1200,3,,
ECUADOR,-0.2,-78.6,,2,3,2
CHILE:  VALDIVIA,-39.8,-73.2,21,3,4,3
EL SALVADOR:  SAN MARCOS,,,,4,4,4
CHINA:  YUNNAN:  TENGCHONG,25,98.6,170,2,,
"PERU:  LIMA,CALLAO",-12.5,-77,,2,,
CANO ISLAND,8.705,-83.88,,,,
CHINA:  YUNNAN PROVINCE:  BAOSHAN,25.1,99.9,10,1,1,1
MOROCCO:  MELILLA,35.3,-2.97,,3,,
UNITED KINGDOM:  DOVER STRAITS,51.019,1.309,,2,,
PERU:  YANAOCA,-14.1,-71.5,,2,3,2
"PERU:  SOCABAYA,AREQUIPA",-16.6,-71.6,,3,3,3
PERU,-12.2,-77.6,,,,
ITALY:  POZZUOLI,40.6,14.1,,2,,
SWITZERLAND:  GENEVA-YVOIRE,46.33,6.97,100,3,2,3
SWITZERLAND,46.2,7,,3,3,3
SWITZERLAND,46.3,7,,3,3,3
PERU,-11.8,-77.8,,1,,1
GREECE:  MOUNT ATHOS,40.2,24.5,,1,1,1
JAPAN:  ISE BAY,35,136.8,8000,3,4,3
CHINA:  YUNNAN PROVINCE:  WEISHAN,25.3,100.3,20,1,1,1
PERU:  LIMA,-12.3,-77.7,22,3,1,3
GUATEMALA:  ANTIGUA,14.553,-90.735,,2,,2
PERU:  PIURA,-5.3,-80.5,,,,2
ECUADOR:  QUITO,-0.22,-78.5,,2,2,2
PORTUGAL:  LOULE,37.1,-8,170,1,3,1
"CHINA:  YUNNAN PROVINCE:  TONGHAI, QUJIANG",24,102.8,,,,
IRAN:  SHIRAZ,29.4,52.3,,2,,
"SURUGA, JAPAN",34.8,138.2,,,3,3
SPAIN,37.9,-4.8,,,,
CHINA:  GANSU PROVINCE,35.4,103.9,,3,3,3
BALKANS NW:  CROATIA:  SENJ,45,14.9,,3,,
ECUADOR:  QUITO,-0.5,-78.2,,2,,
BALKANS NW:  CROATIA:  ZAGREB; HUNGARY: NAGYKANIZSA,45.9,16.3,,3,,
AUSTRIA:  KAMP RIVER,48.3,15.5,,3,,
"PERU:  CUSCO, CAMANA",-17.2,-72.9,,1,1,2
AZORES:  SAO MIGUEL (SAN MIGUEL),37.783,-25.5,,1,,1
FRANCE:  CHINON,47.1,0.1,,2,,
PERU:  ICA,-14,-76,40,2,1,2
JAPAN:  BEPPU BAY,33.3,131.7,,1,3,3
"PORTUGAL:  MONTE SANTO, LISBON",38.8,-9.4,,1,,1
JAPAN:  BEPPU BAY,33.3,131.6,,,1,
"TURKEY: AMASYA, CORUM",40.4,35.4,60000,4,4,4
"PORTUGAL:  MONTE SANTO, LISBON",38.8,-9.4,,1,,1
PHILIPPINES:  MANILA,14.6,121,,2,,
PERU:  VOLCAN HUAYNAPUTINA,-16.8,-70.9,,,4,
PERU:  OMATE,-16.6,-70.8,,1,,
CHINA:  GUANGDONG PROVINCE,23.5,117.2,,3,3,3
PHILIPPINES:  MANILA,14.6,121,,2,,
PHILIPPINES:  MANILA,14.6,121,,2,,
SWITZERLAND,46.8,8.5,9,2,1,2
JAPAN:  BOSO,35.1,140.5,,,3,
"MEXICO:  OAXACA, MIXTECA",18,-92.5,,3,,3
MEXICO:  OAXACA,17,-96.3,,3,,
PERU:  AREQUIPA; CHILE: ARICA,-17.88,-70.94,100,3,3,3
CHINA:  FUJIAN PROVINCE:  OFF COAST,25,119.5,,3,,3
CHILE,-29.9,-71.3,,,,
GREECE:  CRETE,35.5,25.5,,,,
JAPAN:   NANKAIDO,33,134.9,,,4,3
JAPAN:  ENSHUNADA,33.5,138.5,,,4,3
CHINA:  GUANGDONG PROVINCE,19.9,110.5,2000,4,4,4
CHINA:  YUNNAN PROVINCE:  JIANSHUI,23.6,102.8,2000,4,4,4
MEXICO:  OAXACA,17,-96.3,,2,,2
"IRAN:  GILAN, W MAZANDARAN",36.4,50.5,,3,,3
BALKANS NW:  MONTENEGRO,42.4,18.7,,,,
BALKANS NW:  MONTENEGRO,42.4,18.7,,3,,
BALKANS NW:  MACEDONIA,42.4,18.5,,3,,
CHINA:  GANSU:  JIUQUAN,39.2,99,840,3,3,3
PERU,-11.9,-77.4,,,,
ITALY:  NICASTRO,38.6,16.3,,3,,
"VENEZUELA:  LA GRITA,BAILADORES,MERIDA",8.3,-71.8,60,3,,
SWITZERLAND,47.5,7.5,,3,,
PHILIPPINES:  LUZON:  E,17,122,,3,,
"MEXICO:  MEXICO CITY,JALISCO",19.5,-99.1,,3,,3
CHINA:  GUANGDONG PROVINCE,21.5,111.3,2,1,1,1
JAPAN:  AIDU,37.5,140,3700,,,
JAPAN:  SANRIKU,39,144.5,,,4,3
IRAN:  DUGHABAD (SE KASHMAR),35.1,58.9,,3,,
GREECE,38.8,20.8,,,,
GREECE:  CRETE,35.5,25.5,,,,
SOUTH KOREA:  SUWON,37.2,127,,2,,
ITALY:  NASO,38.117,14.783,103,2,3,2
GREECE:  CRETE:  IRAKLION (CANDIA),35.3,25.1,,,,
AZORES:  PRAIA,38.4,-27,,,,
AZORES:  TERCEIRA,38.4,-24.1,200,3,3,3
CHINA:  SHAANXI PROVINCE,37.2,112.5,,3,1,3
JAPAN:  NIIGATA PREFECTURE,37.5,138,,2,3,2
UKRAINE:  BLACK SEA,44.9,35.5,,1,,1
JAPAN,35.7,139.7,,2,,
PUERTO RICO;  DOMINICAN REPUBLIC:  SANTO DOMINGO,18.5,-70,,3,,
CHILE:  ARICA,-18.5,-70.35,,2,,2
SWITZERLAND,46.8,8.4,,3,,
JAPAN:  HONSHU:  MIYAGI PREFECTURE,38.1,142,,2,3,2
JAPAN: SANRIKU,39,144.5,,,3,
SYRIA:  HALAB (ALEPPO),36.1,37.1,,3,,
CHINA:  SHANXI PROVINCE,37,111.9,,3,,3
INDIA:  BOMBAY,18.9,72.9,2000,3,4,3
"FRANCE:  DURANUS,COARAZE,ROQUESPERVIERA,SAORGE",43.6,7.3,,2,,
SWITZERLAND,46.3,9.5,,3,,
"IRAN:  DUGHABAD,KHORASAN",35,58,800,3,,
MEXICO:  OAXACA,17,-96.3,,3,,3
"PERU:  TRUJILLO, PIURA, SANTA",-7.941,-79.038,350,3,3,3
"YATSUSHIRO, JAPAN",32.5,130.6,,1,,1
"PHILIPPINES:  N LUZON:  ILOCOS PROV,ZAGAIAN PROV",18.2,121.6,,3,,
GERMANY:  FRANKFURT,52.3,14.6,,3,,
UZBEKISTAN:  AKHSY,40.9,71.4,,3,,
"PHILIPPINES:  PANAY,ILOILO,CAPIZ",10.8,122.5,,3,,
CHINA:  HEBEI PROVINCE,39.5,116.7,,1,1,1
PANAMA:  PANAMA,8.6,-79.3,,2,,
GREECE:  S,37.5,21,,,,
MEXICO:  ZACATECAS,23,-103,,2,,2
SWITZERLAND,46.8,10.3,,1,,
SWITZERLAND,46.8,10.3,,,,
"CHINA:  NINGXIA:  PINGLIANG, LONGDE",36.5,106.3,12000,4,4,4
ITALY:  ARGENTA,44.6,11.8,,,,1
"MOROCCO:  FES (FEZ),MEKNES",34,-4.6,,3,,
GREECE,38.8,20.8,,,,
ITALY:  GIRIFALCO,38.8,16.4,,3,,3
CHINA:  SHANXI PROVINCE,39.4,114.2,5200,4,4,4
ITALY:  NAPOLI (NAPLES),40.4,14.1,,3,,3
CHINA:  NINGXIA,37.5,105.5,,1,2,1
ECUADOR:  QUITO,-0.2,-78.5,,2,,
ITALY:  LESINA,41.733,15.35,5000,,4,
PHILIPPINES:  W. LUZON ISLAND:  CAGAYAN:  BANGUI,18.4,121.6,,3,,3
"BALKANS NW:  SLOVENIA:  KRISKO,BRESTANICA",46,15.5,,2,,
CHINA:  HEBEI PROVINCE,40.6,114.2,63,3,2,3
"PHILIPPINES:  LUZON:  CAMALIG, ALBAY",13.2,123.7,,3,,3
GREECE:  ISLANDS OF CYTHERA AND CRETE,36,25,,3,3,3
INDONESIA:  BANDA SEA,-4.6,129.9,,,,2
GERMANY:  MECKLENBURG,53.6,12.3,,,,
CHINA:  SICHUAN PROVINCE,32.6,104.1,,1,2,1
"GREECE:  LEVKAS, CEPHALONIA, ITHAKI",38.7,20.6,,3,3,3
PERU:  LIMA,-12.2,-77.5,,2,1,2
INDONESIA:  BANDA SEA,-4.6,129.9,,,,
ETHIOPIA,11.2,41.7,,2,,
CHINA:  GANSU PROVINCE:  LINTAO,35.3,104.3,,1,1,1
CHINA:  NINGXIA,35.5,107.8,,,2,
CHINA:  HUNAN PROVINCE,29.3,111.7,,4,4,4
ITALY:  NAPLES (NAPOLI),40.821,14.426,,,4,4
BALKANS NW:  CROATIA,42.4,18.4,,,,
JAPAN:  ODAWARA,35.2,139.2,150,2,3,2
CHILE:  FORT CARELMAPU,-41.8,-73.8,,2,1,2
GREECE:  ZAKINTHOS (ZANTE),37.5,21,,3,3,3
